short,long,total_return,sharpe,sortino,cagr,max_drawdown
3,20,0.01418234442836474,0.5024987661875799,,0.0035551489994216645,0.0
3,30,0.013837375178316689,0.5024987661875799,,0.0034691167300384684,0.0
3,40,0.013502109704641408,0.50249876618758,,0.0033854835125308735,0.0
3,60,0.012859097127222958,0.5024987661875799,,0.0032250237143249816,0.0
3,80,0.012250332889480705,0.5024987661875799,,0.003073040143943384,0.0
5,20,0.01418234442836474,0.5024987661875799,,0.0035551489994216645,0.0
5,30,0.013837375178316689,0.5024987661875799,,0.0034691167300384684,0.0
5,40,0.013502109704641408,0.50249876618758,,0.0033854835125308735,0.0
5,60,0.012859097127222958,0.5024987661875799,,0.0032250237143249816,0.0
5,80,0.012250332889480705,0.5024987661875799,,0.003073040143943384,0.0
7,20,0.01418234442836474,0.5024987661875799,,0.0035551489994216645,0.0
7,30,0.013837375178316689,0.5024987661875799,,0.0034691167300384684,0.0
7,40,0.013502109704641408,0.50249876618758,,0.0033854835125308735,0.0
7,60,0.012859097127222958,0.5024987661875799,,0.0032250237143249816,0.0
7,80,0.012250332889480705,0.5024987661875799,,0.003073040143943384,0.0
9,20,0.01418234442836474,0.5024987661875799,,0.0035551489994216645,0.0
9,30,0.013837375178316689,0.5024987661875799,,0.0034691167300384684,0.0
9,40,0.013502109704641408,0.50249876618758,,0.0033854835125308735,0.0
9,60,0.012859097127222958,0.5024987661875799,,0.0032250237143249816,0.0
9,80,0.012250332889480705,0.5024987661875799,,0.003073040143943384,0.0
